rm,medv
5.961,21.7
5.927,19.6
5.972,20.3
5.597,15.4
6.115,20.5
7.185,34.9
6.718,26.2
6.266,21.6
6.833,14.1
6.129,17
5.304,10.4
6.606,23.3
6.674,21
6.456,22.2
6.152,8.7
6.75,23.7
6.358,22.2
5.304,12
6.122,21.5
6.51,23.3
6.38,9.5
6.372,23
6.14,20.8
6.546,29.4
6.54,16.5
5.705,16.2
6.219,18.4
6.8,31.1
6.108,21.9
5.884,18.6
6.604,29.1
6.144,36.2
6.009,21.7
5.914,17.8
5.453,5
6.376,23.1
7.831,50
6.726,29
5.976,12.7
6.812,35.1
6.251,19.9
6.13,13.8
6.619,23.9
6.513,20.2
6.112,22.6
5.602,19.4
6.167,19.9
6.152,15.6
7.52,43.1
6.629,13.4
6.38,13.1
5.536,11.3
7.327,31
7.61,42.3
8.266,44.8
7.061,25
7.691,35.2
6.975,34.9
6.086,24
6.096,18.2
6.223,10.2
7.393,17.8
6.434,7.2
6.849,28.2
6.442,22.9
7.185,34.7
6.59,22
5.807,22.4
6.454,17.1
6.794,22
6.162,24.1
6.683,50
6.195,21.7
6.474,19.8
7.42,33.4
6.398,25
6.405,22
5.747,8.5
6.209,23.2
5.803,16.8
5.727,18.2
6.406,17.1
5.905,20.6
6.701,16.4
5.759,19.9
7.47,43.5
6.421,21.6
6.279,20
8.297,50
3.863,23.1
6.059,20.6
5.936,13.5
5.713,12.7
6.254,18.5
6.471,13.1
6.245,23.4
6.495,18.4
6.968,35.4
5.404,19.3
6.251,12.6
6.77,26.6
7.135,32.9
7.765,39.8
6.957,29.6
6.618,30.1
6.174,14
6.635,24.5
7.241,32.7
6.943,41.3
6.43,28.7
5.985,19
6.728,30.1
7.274,34.6
5.468,15.6
5.683,5
6.167,20.1
5.531,8.5
6.567,23.8
6.426,23.8
5.713,15.1
4.973,16.1
5.707,21.8
5.599,13.9
6.595,30.8
4.903,11.8
5.924,15.6
5.412,23.7
6.02,23.2
6.616,28.4
5.933,18.9
6.163,21.4
5.604,26.4
6.319,23.8
7.147,36.2
6.297,16.1
6.98,37.2
6.164,21.7
6.565,24.8
5.648,20.8
6.072,14.5
5.52,12.3
6.657,17.2
6.009,18.9
4.652,10.5
5.414,7
5.966,24.7
6.425,16.1
7.155,37.9
8.78,21.9
5.926,19.1
6.064,24.4
6.326,19.6
6.242,23
6.226,20.5
6.511,25
6.096,13.5
8.04,37.6
6.556,29.8
5.403,13.4
6.404,12.1
8.034,50
6.579,24.1
5.841,20
5.965,19.6
5.85,21
6.395,21.7
6.879,27.5
4.368,8.8
4.963,21.9
6.004,18.9
5.935,8.4
5.854,22.7
5.456,20.2
5.887,12.7
6.593,22.4
6.642,28.7
6.939,26.6
4.138,11.9
5.856,21.1
6.649,13.9
6.852,27.5
6.655,15.2
6.092,18.7
5.889,21.7
5.837,10.2
5.786,20
6.211,25
6.781,26.5
6.229,19.4
5.859,22.6
5.39,11.5
